Term	boolean	country	day	establishmentMeans	institutionCode	lifeStage	month	plateWell	processingLab	sequencingLab	sex	typeStatus	year
					BC<IH>								
					BCB<IH>								
					BCC								
					BCC<IH>								
					BCCM/IHEM								
					BCCM/LMBP								
					BCCM/MUCL								
					BCCM/ULC								
					BCCN								
					BCCUSP								
					BCF<IH>								
					BCFH								
					BCKN<IH>								
					BCL<IH>								
					BCM								
					BCM<IH>								
					BCMEX<IH>								
					BCMM<IH>								
					BCN<IH>								
					BCNP								
					BCPM								
					BCRC								
					BCRJ								
					BCRU<IH>								
					BCTC<IH>								
					BCU<IH>								
					BCUE								
					BCUZ								
					BCW<IH>								
					BCWL								
					BDD<IH>								
					BDI<IH>								
					BDK<IH>								
					BDLU								
					BDM								
					BDMU								
					BDPA<IH>								
					BDUC								
					BDUW								
					BDUZ								
					BDWC								
					BDWL								
					BDWR<IH>								
					BEAN<IH>								
					BED<IH>								
					BEDF<IH>								
					BEDPL<IH>								
					BEG								
					BEGO<IH>								
					BEI<IH>								
					BEL<IH>								
					BELC<IH>								
					BELUM								
					BELZ<IH>								
					BENH								
					BENIN<IH>								
					BEO<IH>								
					BEOU<IH>								
					BER<IH>								
					BEREA<IH>								
					BERN<IH>								
					BESA<IH>								
					BESM								
					BEV<IH>								
					BEX<IH>								
					BFBI								
					BFD<IH>								
					BFDL<IH>								
					BFIC								
					BFT<IH>								
					BFUS								
					BFY<IH>								
					BG<IH>								
					BGAAS<IH>								
					BGHan								
					BGM								
					BGR								
					BGRB								
					BGS								
					BGSC								
					BGSU<IH>								
					BH<IH>								
					BHAG<IH>								
					BHAV<IH>								
					BHCB<IH>								
					BHD<IH>								
					BHDL<IH>								
					BHDS<IH>								
					BHM								
					BHM<IH>								
					BHMG<IH>								
					BHMH<IH>								
					BHO<IH>								
					BHSC<IH>								
					BHU<IH>								
					BHUPM<IH>								
					BHUPP<IH>								
					BI<IH>								
					BIA<IH>								
					BIDA								
					BIE								
					BIEL<IH>								
					BIGU<IH>								
					BIL<IH>								
					BILAS<IH>								
					BIM								
					BIM<IH>								
					BING<IH>								
					BIO<IH>								
					BIOT<IH>								
					BIOUG								
					BIRA<IH>								
					BIRM<IH>								
					BISH<IH>								
					BITU								
					BIUB								
					BJ<IH>								
					BJA<IH>								
					BJFC<IH>								
					BJM<IH>								
					BJRI								
					BJTC<IH>								
					BK<IH>								
					BKF<IH>								
					BKL<IH>								
					BKNU								
					BLA<IH>								
					BLAT<IH>								
					BLCU								
					BLFU<IH>								
					BLGA								
					BLH<IH>								
					BLIH								
					BLMLK<IH>								
					BLT<IH>								
					BLUZ								
					BLWG								
					BLY<IH>								
					BM								
					BM<IH>								
					BMAM								
					BMARI								
					BMB								
					BMBN								
					BMCC								
					BMFM-UNAM								
					BMGB								
					BMH<IH>								
					BMHP								
					BMKB								
					BMM								
					BMNAS								
					BMNHC								
					BMPS<IH>								
					BMR								
					BMRP								
					BMSA								
					BMSC								
					BMUK								
					BNA								
					BNA<IH>								
					BNBE<IH>								
					BNFF<IH>								
					BNFH<IH>								
					BNH<IH>								
					BNHD								
					BNHM								
					BNHS								
					BNI								
					BNL<IH>								
					BNM<IH>								
					BNMMNH								
					BNP								
					BNPL<IH>								
					BNRH<IH>								
					BNS<IH>								
					BNT<IH>								
					BNU<IH>								
					BO<IH>								
					BOC								
					BOCH<IH>								
					BOD<IH>								
					BOG<IH>								
					BOGOS								
					BOIS<IH>								
					BOL<IH>								
					BOLO<IH>								
					BOLV<IH>								
					BON<IH>								
					BONB<IH>								
					BONL<IH>								
					BONN<IH>								
					BOON<IH>								
					BOR<IH>								
					BORD<IH>								
					BORH<IH>								
					BORN								
					BOROK								
					BOSC<IH>								
					BOTU<IH>								
					BOUM<IH>								
					BOZ<IH>								
					BP<IH>								
					BPBM								
					BPI								
					BPI<IH>								
					BPIC								
					BPL<IH>								
					BPM								
					BPPT-ESC								
					BPS<IH>								
					BPU<IH>								
					BR								
					BR<IH>								
					BRA<IH>								
					BRAD<IH>								
					BRB								
					BRC<IH>								
					BRCAS								
					BRCC								
					BRCH<IH>								
					BRE<IH>								
					BREE<IH>								
					BREG<IH>								
					BREM<IH>								
					BRFL<IH>								
					BRFM								
					BRG<IH>								
					BRGE<IH>								
					BRH<IH>								
					BRI<IH>								
					BRIP<IH>								
					BRIST<IH>								
					BRISTM<IH>								
					BRIT<IH>								
					BRIU<IH>								
					BRL<IH>								
					BRLU<IH>								
					BRM<IH>								
					BRMI<IH>								
					BRN<IH>								
					BRNL<IH>								
					BRNM<IH>								
					BRNU<IH>								
					BROC<IH>								
					BRS<IH>								
					BRSL<IH>								
					BRSMG								
					BRSN<IH>								
					BRSU<IH>								
					BRTN<IH>								
					BRU<IH>								
					BRUN<IH>								
					BRV								
					BRVU<IH>								
					BRWK<IH>								
					BRY<IH>								
					BSA<IH>								
					BSB<IH>								
					BSC<IH>								
					BSCA<IH>								
					BSCVC								
					BSD<IH>								
					BSE<IH>								
					BSHC<IH>								
					BSI<IH>								
					BSID<IH>								
					BSIP<IH>								
					BSIS<IH>								
					BSJO<IH>								
					BSKU								
					BSL<IH>								
					BSM								
					BSMB								
					BSMP								
					BSN<IH>								
					BSNH								
					BSNS								
					BSPG								
					BSRA<IH>								
					BSRM								
					BST<IH>								
					BSTN<IH>								
					BSU<IH>								
					BSUH<IH>								
					BSUMC								
					BTCC								
					BTH<IH>								
					BTJW<IH>								
					BTN<IH>								
					BTT<IH>								
					BTU<IH>								
					BUA<IH>								
					BUAG<IH>								
					BUC<IH>								
